race_id,nirenpuku_result,payout_nirenpuku_100
1320260122020006,3-9,620
1320260122020007,2-7,250
1320260122020008,1-5,800
1320260122020009,1-9,1130
1320260122020010,1-9,140
1320260122020011,2-3,5710
1320260122020012,2-3,480
2620260122020001,5-7,420
2620260122020002,1-3,2910
2620260122020003,1-5,460
2620260122020004,2-7,850
2620260122020005,2-5,170
2620260122020006,1-4,150
2620260122020007,1-4,930
3120260121030001,3-7,240
3120260121030002,2-3,440
3120260121030003,3-6,1680
6120260122020001,2-6,2860
6120260122020002,2-4,110
6220260121030001,1-5,110
6220260121030002,1-5,110
6220260121030003,2-7,140
6220260121030004,2-5,1450
6220260121030005,1-5,330
6220260121030006,1-6,520
6220260121030007,4-6,1350
6220260121030008,4-7,1970
6220260121030009,2-4,330
6220260121030010,1-5,260
6220260121030011,4-5,700
6220260121030012,1-4,2080
1320260122030001,1-2,2690
1320260122030002,6-7,19460
1320260122030003,7-9,330
1320260122030004,2-3,5390
1320260122030005,3-9,550
1320260122030006,7-9,5900
1320260122030007,1-7,210
1320260122030008,1-7,3250
1320260122030009,2-7,660
1320260122030010,1-3,790
1320260122030011,6-8,5500
1320260122030012,1-7,430
2620260122030001,2-5,640
2620260122030002,2-6,7980
2620260122030003,4-7,360
2620260122030004,2-3,2650
2620260122030005,2-5,350
2620260122030006,1-7,2340
2620260122030007,4-7,3520
4820260124010001,2-4,160
4820260124010002,6-7,1500
4820260124010003,4-7,120
6120260122030001,1-4,1530
6120260122030002,1-3,130
6120260122030003,5-7,970
1320260122040001,2-3,880
1320260122040002,1-5,600
1320260122040003,5-9,400
1320260122040004,3-5,310
1320260122040005,1-4,8480
1320260122040006,2-4,5370
1320260122040007,2-9,4250
1320260122040008,2-6,520
1320260122040009,5-6,20470
1320260122040010,2-4,1970
1320260122040011,1-9,300
1320260122040012,2-7,310
3620260125010001,3-5,1000
3620260125010002,2-5,200
3620260125010003,3-7,650
3620260125010004,1-4,110
3620260125010005,3-5,440
3620260125010006,2-7,510
3620260125010007,5-7,6750
3620260125010008,4-5,120
3620260125010009,3-6,5100
3620260125010010,1-7,1680
3620260125010011,5-7,120
3620260125010012,5-6,2930
3720260125010001,3-7,150
3720260125010002,1-5,1080
3720260125010003,3-7,110
4820260124020001,2-3,4870
4820260124020002,2-7,170
4820260124020003,1-7,910
6320260125010001,2-5,120
6320260125010002,2-7,170
6320260125010003,1-4,710
6320260125010004,5-7,100
6320260125010005,1-7,120
6320260125010006,1-5,370
6320260125010007,1-2,310
2320260126010001,1-5,1070
2320260126010002,5-7,1870
2320260126010003,1-5,140
2320260126010004,4-7,120
2320260126010005,5-7,25240
2320260126010006,4-6,120
2320260126010007,2-5,680
2320260126010008,2-3,1880
2320260126010009,4-7,180
2320260126010010,1-4,200
2320260126010011,2-5,440
3620260125020001,5-7,1270
3620260125020002,3-7,310
3620260125020003,1-5,230
3620260125020004,3-7,700
3620260125020005,1-4,110
3620260125020006,3-4,170
3620260125020007,6-7,11560
3620260125020008,1-5,160
3620260125020009,1-4,900
3620260125020010,1-3,1150
3620260125020011,2-4,350
3620260125020012,1-7,150
3720260125020001,2-7,3760
3720260125020002,3-6,2840
3720260125020003,3-5,540
4820260124030001,1-3,430
4820260124030002,2-5,180
4820260124030003,5-7,2560
6320260125020001,1-3,4340
6320260125020002,1-7,230
6320260125020003,3-7,490
6320260125020004,1-5,170
6320260125020005,1-3,150
6320260125020006,2-4,1080
6320260125020007,1-6,8840
2320260126020001,5-7,2130
2320260126020002,4-6,10170
2320260126020003,2-5,100
2320260126020004,1-3,150
2320260126020005,1-7,420
2320260126020006,2-5,500
2320260126020007,2-7,1020
2320260126020008,3-5,790
2320260126020009,1-2,330
2320260126020010,1-3,400
2320260126020011,1-5,100
2620260127010001,2-7,290
2620260127010002,2-5,200
2620260127010003,1-5,310
2620260127010004,1-5,100
2620260127010005,1-3,580
2620260127010006,3-7,400
2620260127010007,2-7,130
2620260127010008,3-7,430
2620260127010009,1-6,6740
2620260127010010,2-5,150
2620260127010011,2-7,2030
2620260127010012,3-6,2260
3120260127010001,2-5,130
3120260127010002,3-4,5620
3120260127010003,2-4,110
3120260127010004,2-5,120
3120260127010005,3-4,100
3120260127010006,1-4,120
3120260127010007,1-4,580
3620260125030001,1-5,140
3620260125030002,2-6,1590
3620260125030003,2-5,150
3620260125030004,1-7,1380
3620260125030005,4-5,1390
3620260125030006,3-7,4200
3620260125030007,3-7,160
3620260125030008,2-6,440
3620260125030009,2-4,6920
3620260125030010,1-4,6020
3620260125030011,4-7,890
3620260125030012,2-7,260
3720260125030001,2-7,400
3720260125030002,3-7,2060
3720260125030003,2-4,250
3720260125030004,1-6,210
3720260125030005,1-7,610
3720260125030006,1-5,380
3720260125030007,5-7,530
3720260125030008,1-4,170
3720260125030009,3-4,600
3720260125030010,1-7,140
3720260125030011,4-7,210
6320260125030001,5-6,4590
6320260125030002,5-6,160
6320260125030003,4-7,860
6320260125030004,2-7,180
6320260125030005,3-5,110
6320260125030006,2-5,100
6320260125030007,1-4,800
7420260126020001,1-2,170
7420260126020002,1-3,260
8120260126020001,2-4,5970
8720260127010001,3-6,680
8720260127010002,4-7,1830
8720260127010003,1-5,160
8720260127010004,3-6,2370
8720260127010005,2-4,1140
8720260127010006,2-5,280
8720260127010007,2-5,340
8720260127010008,2-7,540
8720260127010009,5-7,1220
8720260127010010,2-5,140
8720260127010011,3-4,220
8720260127010012,2-6,440
2320260126030001,1-5,220
2320260126030002,1-7,200
2320260126030003,2-7,270
2320260126030004,1-6,990
2320260126030005,3-4,1330
2320260126030006,1-4,840
2320260126030007,4-5,180
2320260126030008,1-4,520
2320260126030009,1-4,150
2320260126030010,4-7,580
2320260126030011,3-5,520
2620260127020001,1-3,350
2620260127020002,1-2,890
2620260127020003,3-4,190
2620260127020004,3-5,1020
2620260127020005,3-6,1650
2620260127020006,3-5,1240
2620260127020007,3-4,180
2620260127020008,1-5,1490
2620260127020009,1-3,480
2620260127020010,2-5,310
2620260127020011,4-7,1430
2620260127020012,1-5,2120
3120260127020001,1-3,2580
3120260127020002,3-7,210
3120260127020003,2-3,540
3120260127020004,2-6,1290
3120260127020005,2-5,150
3120260127020006,1-2,240
3120260127020007,4-5,590
4820260128010001,1-7,980
4820260128010002,3-4,220
4820260128010003,2-4,4820
4820260128010004,1-7,370
4820260128010005,3-4,140
4820260128010006,3-5,2140
4820260128010007,3-4,180
4820260128010008,1-4,130
4820260128010009,1-4,510
4820260128010010,1-7,210
4820260128010011,1-2,330
7420260126030001,1-3,610
7420260126030002,1-5,1800
7420260126030003,4-6,4010
7420260126030004,1-3,1080
8120260126030001,2-5,2290
8120260126030002,2-4,300
8120260126030003,2-4,520
8120260126030004,1-7,1740
8120260126030005,4-6,3000
