race_id,競輪場,レース番号,開始時間,best_bet_distortion,best_odds_distortion,best_p_distortion,best_EV_distortion,market_prob,distortion_ratio,distortion_log,distortion_z,rank_gap,distortion_score
5520260228010001,和歌山競輪,1R,11:05,2-6,82.0,0.0450960903333734,2.6978794073366203,0.009106091234636068,4.952299418755318,1.5998519977840384,1.3693064430502115,5.0,0.6831947136308849
2620260304010010,西武園競輪,10R,15:12,1-3,121.2,0.0383968863403743,3.6537026244533735,0.005979858466959556,6.42103597369522,1.8595794713289142,1.346700861891561,6.0,0.6788711149985858
7520260305010004,松山競輪,4R,12:36,3-8,129.0,0.0388155551962811,4.007206620320263,0.005770447527561377,6.726610891817285,1.9060714346457601,1.388851767711251,13.0,0.6784925856989406
5620260301030002,岸和田競輪,2R,21:13,3-7,221.4,0.0216867166120179,3.801439057900764,0.0033528114263097,6.468218413768455,1.8669007095533032,1.5230511866220235,2.0,0.6782992896596854
7520260305030011,松山競輪,11R,15:49,4-6,425.6,0.0170185219976253,6.24308296218936,0.001742402111823059,9.767275804120613,2.279037594491393,1.490295879763045,12.0,0.6782305834718579
4420260228040009,大垣競輪,9R,14:48,3-9,139.4,0.0321157601690177,3.4769369675610804,0.005342531813435888,6.01133718703157,1.7936472175126625,1.4183434425326622,13.0,0.6773739183429991
2420260304020006,宇都宮競輪,6R,22:54,2-3,31.5,0.0884673076451058,1.786720190820834,0.09069901790872328,0.9753943282292339,-0.024913450527007823,1.2301587388266346,3.0,0.676425415573465
7520260305020009,松山競輪,9R,14:44,2-4,235.2,0.0362134360995111,7.51740017060502,0.003101412380037074,11.676433718047447,2.457572598445328,1.2940998402364357,14.0,0.6755482231158014
7520260305010006,松山競輪,6R,13:28,4-5,440.3,0.0190246930112782,7.376572332865829,0.0016810252226443678,11.317315614118947,2.426333908144349,1.518272820170397,11.0,0.6740467193830797
3620260303030001,小田原競輪,1R,09:00,6-7,303.9,0.0294063148721025,7.936579089631955,0.002438786267433126,12.057766296591256,2.489708958307096,1.3554580912408878,4.0,0.6734575219395189
2420260304020007,宇都宮競輪,7R,23:21,5-6,67.5,0.0488221913260765,2.295497914510168,0.011047956683139997,4.419115020261048,1.48593945440266,1.4380821109401032,4.0,0.6731941321276772
3620260303020003,小田原競輪,3R,09:40,6-7,140.4,0.0290124373820118,3.0733462084344634,0.00528455079137857,5.4900479760462915,1.7029369943239703,1.4992269173677297,5.0,0.6708370892646821
3720260304010010,伊東競輪,10R,19:38,2-6,59.5,0.0414864591769272,1.4684443210271725,0.012498852361144792,3.3192214752913647,1.1997302600599902,1.421079928622987,5.0,0.6707301775581241
8320260301030011,久留米競輪,11R,20:02,6-7,41.2,0.0696826358964491,1.870924598933703,0.01809785516429004,3.8503256468807288,1.3481577283424364,1.2643147834265365,12.0,0.670066000549314
8720260304010006,熊本競輪,6R,22:45,3-5,70.5,0.0538339475243946,2.795293300469824,0.010402190764418567,5.175250938808216,1.6438878285853373,1.254691651379859,2.0,0.668813058575991
2420260304030007,宇都宮競輪,7R,23:21,4-7,135.7,0.0291333742179948,2.9533988813818977,0.0054676849229709015,5.328283290478397,1.6730291019937655,1.4198100986932867,0.0,0.6685597371929798
7520260305030004,松山競輪,4R,12:26,1-6,220.7,0.0185207607298348,3.087531893074555,0.003377630556525776,5.483358944798824,1.7017178593703364,1.5159870521065155,9.0,0.6684077316139465
5620260301030005,岸和田競輪,5R,22:27,2-7,33.4,0.0605196281242891,1.0213555793512588,0.022242562828050923,2.720892758151262,1.0009600463806108,1.4040459948440926,9.0,0.6646849070513017
2620260304020004,西武園競輪,4R,12:23,1-3,123.1,0.0437712064719377,4.388235516695535,0.005900357596953629,7.418398926722423,2.0039632558489435,1.3327699922918672,8.0,0.6637918874979576
2220260307010006,前橋競輪,6R,18:04,1-7,381.2,0.0410481031731842,14.64753692961784,0.0019200499915314078,21.37866374982564,3.0623934036598985,1.1472881733821245,8.0,0.6597169639003161
5320260227020002,奈良競輪,2R,09:10,1-7,357.6,0.0203131057266555,6.263966607852017,0.0020453520509317097,9.931349328088052,2.295696352871699,1.4469552576195115,3.0,0.6584104561456435
2820260307010007,立川競輪,7R,10:55,1-3,65.4,0.0665962952552745,3.3553977096949525,0.011173254327134724,5.960331099559975,1.7851260331666747,1.2382538528345866,6.0,0.6575025642218579
3720260304010009,伊東競輪,9R,19:12,5-6,110.4,0.0264598126270205,1.9211633140230675,0.006763825629624697,3.911959602745807,1.3640384256605749,1.5461551422859228,3.0,0.6572551433964269
6220260228010006,広島競輪,6R,10:40,6-7,345.8,0.0219048654014069,6.574702455806517,0.0021583639143190106,10.148828585363612,2.3173582885641624,1.3744930844400103,3.0,0.6554804156328095
2220260307010007,前橋競輪,7R,18:30,6-7,82.1,0.0476362411776599,2.9109354006858803,0.00901057574867328,5.286703369580704,1.6651948700791241,1.368489476670576,5.0,0.6546435393648751
8720260304030002,熊本競輪,2R,21:05,2-6,52.5,0.0685435901884211,2.5985384848921105,0.013962804522765802,4.909013090583232,1.5910729217366197,1.1561628476319228,5.0,0.6538200848819243
8720260304020002,熊本競輪,2R,21:05,1-3,16.5,0.0771087878401533,0.2722949993625307,0.045328911000552786,1.7010950878019522,0.5312722129824218,1.384625260687461,5.0,0.653166508392053
7520260305010008,松山競輪,8R,14:22,5-6,219.8,0.0254810358946488,4.600731689643817,0.003390910805715345,7.514510804644659,2.016835925269688,1.4097515709548007,7.0,0.6505255817796439
8120260306030012,小倉競輪,12R,20:30,1-7,49.7,0.0733020672739205,2.643112743513852,0.014844772586869254,4.937904359263877,1.5969410224347396,1.2052183961404688,8.0,0.6491150902419666
4420260228040012,大垣競輪,12R,16:20,3-8,140.5,0.0291057472521221,3.0893574889231665,0.005294168319839452,5.497699636324945,1.7043297568417974,1.4039743996262162,13.0,0.6477720946769884
7520260305020010,松山競輪,10R,15:12,2-5,274.3,0.0325457896364627,7.927310097281721,0.0026757231464751515,12.163362142743859,2.4984283303538395,1.3377546267449931,13.0,0.6454589270953638
2620260304010009,西武園競輪,9R,14:44,2-4,168.7,0.0386711104919395,5.523816339990209,0.004271343465698806,9.05361762486107,2.203164415417632,1.265907513162709,4.0,0.643193174070074
8120260306020007,小倉競輪,7R,18:17,1-7,93.7,0.0394178210569081,2.693449833032296,0.007902729493462792,4.987874263509462,1.6070098197286173,1.215170218497745,7.0,0.6429906223447553
5520260228010008,和歌山競輪,8R,14:08,2-3,62.4,0.0515305201504861,2.2155044573903377,0.011888574779173277,4.334457334315984,1.466596420020551,1.3361801263606754,6.0,0.6397274596713005
2220260307020006,前橋競輪,6R,18:02,4-7,291.5,0.0312741078458468,8.116402437064364,0.0025526102690330513,12.25181462795018,2.50567405894601,1.3056529038865625,2.0,0.6383785717583379
3620260303010006,小田原競輪,6R,10:34,2-3,158.1,0.0397032894673562,5.27709006478903,0.004694603672319677,8.45721859184781,2.1350203479368766,1.2882071277029694,6.0,0.6381786132486246
8120260306030003,小倉競輪,3R,16:35,2-6,67.9,0.0665966720418746,3.521914031643285,0.01099005434682805,6.059721811570114,1.8016638933610414,1.3265687971814266,9.0,0.6371988141758536
2720260301030005,京王閣競輪,5R,17:38,6-7,208.9,0.0221939576386343,3.6363177507107247,0.003507691693275087,6.327225871890941,1.8448618892550486,1.4628038192625619,1.0,0.635911629472639
3720260304020005,伊東競輪,5R,17:24,6-7,220.0,0.03604310821671,6.929483807676206,0.003273641592209619,11.010096001795905,2.3988126702334833,1.3097170555907096,3.0,0.6343712229899353
