EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
5,20,200,2.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,20,200,3.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,20,200,5.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,50,200,1.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,50,200,1.5,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,50,200,2.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,50,200,3.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,50,200,5.0,3,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.669702697553689,0.05484921865027239,146.76078431372548
5,80,200,1.0,0,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.6681109220944705,0.053842122580856855,149.16666666666666
5,80,200,1.5,0,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.6681109220944705,0.053842122580856855,149.16666666666666
5,80,200,2.0,0,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.6681109220944705,0.053842122580856855,149.16666666666666
5,80,200,3.0,0,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.6681109220944705,0.053842122580856855,149.16666666666666
5,80,200,5.0,0,51,1,0.0196078431372549,5100,14550,2.8529411764705883,6.6681109220944705,0.053842122580856855,149.16666666666666
5,0,200,1.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,0,200,1.5,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,0,200,2.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,0,200,3.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,0,200,5.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,20,200,1.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,20,200,1.5,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,20,200,2.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,20,200,3.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,20,200,5.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,50,200,1.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,50,200,1.5,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,50,200,2.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,50,200,3.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,50,200,5.0,0,52,1,0.019230769230769232,5200,14550,2.798076923076923,6.642124898760741,0.05439671872049718,147.7673076923077
5,80,500,1.0,8,58,1,0.017241379310344827,5800,14550,2.5086206896551726,8.031806813312793,0.050728849233818235,203.27068965517242
5,80,500,1.5,8,58,1,0.017241379310344827,5800,14550,2.5086206896551726,8.031806813312793,0.050728849233818235,203.27068965517242
5,80,500,2.0,8,58,1,0.017241379310344827,5800,14550,2.5086206896551726,8.031806813312793,0.050728849233818235,203.27068965517242
5,80,500,3.0,8,58,1,0.017241379310344827,5800,14550,2.5086206896551726,8.031806813312793,0.050728849233818235,203.27068965517242
5,80,500,5.0,8,58,1,0.017241379310344827,5800,14550,2.5086206896551726,8.031806813312793,0.050728849233818235,203.27068965517242
5,0,500,1.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,0,500,1.5,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,0,500,2.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,0,500,3.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,0,500,5.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,20,500,1.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,20,500,1.5,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
5,20,500,2.0,8,59,1,0.01694915254237288,5900,14550,2.4661016949152543,7.985790387811568,0.05127041317633239,201.12033898305086
